FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,year,week,Timeline
Fredrik,Ulvestad,MID,BUR,4400000,0,0,0.0,0.0,0.0,0,2387,0,0,0,0,0,0,0,0.0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,584,0,0,0,0,0,0,0,0,0,West Ham,,,,,2016,37,Y16W37
Victor,Valdes,GLK,MID,4500000,0,102,3.6,8e-07,2.266666666666669e-05,0,334116,1,36,0,79,0,0,0,22.7,0,0,0,102,0,0,0,0,10,0,8,0,0,4.3,210768,0,0,0,3,2520,0,0,0,493,Liverpool,,,,,2016,37,Y16W37
Antonio,Valencia,DEF,MUN,5800000,0,120,4.3,7.41379310344828e-07,2.06896551724138e-05,0,1014182,5,20,0,0,0,1,0,20.7,0,3,0,120,-3,0,0,0,9,0,12,0,3,12.4,1104769,0,186,0,2,2483,0,0,0,612,Crystal Palace,,,,,2016,37,Y16W37
Enner,Valencia,FWD,EVE,5200000,2,54,2.3,4.4230769230769217e-07,1.0384615384615401e-05,0,190074,1,12,0,0,0,3,0,10.4,0,-3,0,54,3,0,0,0,3,0,2,0,3,1.7,126998,0,200,0,0,927,0,0,0,173,Arsenal,,,,,2016,37,Y16W37
Patrick,van Aanholt,DEF,CRY,4900000,1,98,3.1,6.3265306122449e-07,2e-05,0,364735,3,53,0,0,0,5,0,20.0,0,-1,0,98,1,0,0,0,9,0,5,0,1,3.6,284385,0,369,0,4,2498,0,0,0,534,Man Utd,,,,,2016,37,Y16W37
Mike,van der Hoorn,DEF,SWA,4300000,0,16,0.14414414414414406,3.35218939870103e-08,3.72093023255814e-06,0,22375,1,20,0,0,0,1,0,3.7,0,-2,0,16,2,0,0,0,0,0,1,0,0,0.2,18145,0,0,0,1,662,0,0,0,125,West Brom,,,,,2016,37,Y16W37
Virgil,van Dijk,DEF,SOU,5600000,0,75,3.6,6.428571428571429e-07,1.33928571428571e-05,0,723277,3,23,0,0,0,1,0,13.4,0,1,0,75,-1,0,0,0,14,0,7,0,0,5.3,420817,0,452,0,3,1852,0,0,1,435,Stoke,,,,,2016,37,Y16W37
Marco,Van Ginkel,MID,CHE,4900000,0,0,0.0,0.0,0.0,0,1219,0,0,0,0,0,0,0,0.0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.0,152,0,81,0,0,0,0,0,0,0,Sunderland,,,,,2016,37,Y16W37
Jamie,Vardy,FWD,LEI,9900000,9,161,4.6,4.6464646464646503e-07,1.62626262626263e-05,0,1298910,2,57,0,0,0,13,0,16.3,0,-1,0,161,1,0,0,0,24,0,7,0,8,13.9,912399,0,945,0,3,2801,0,0,1,555,Bournemouth,,,,,2016,37,Y16W37
Guillermo,Varela,DEF,MUN,4500000,0,0,0.0,0.0,0.0,0,592,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,300,0,36,0,0,0,0,0,0,0,Crystal Palace,,,,,2016,37,Y16W37
Thibaud,Verlinden,MID,STK,4500000,0,0,0.0,0.0,0.0,0,200,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,243,0,0,0,0,0,0,0,0,0,Southampton,,,,,2016,37,Y16W37
Jan,Vertonghen,DEF,TOT,5800000,2,126,3.8,6.55172413793103e-07,2.17241379310345e-05,0,435599,5,21,0,0,0,0,0,21.7,0,3,0,126,-3,0,0,0,8,0,15,0,0,7.7,595721,0,335,0,0,2894,0,0,0,733,Hull City,,,,,2016,37,Y16W37
Sam,Vokes,FWD,BUR,5700000,8,121,3.3,5.789473684210529e-07,2.12280701754386e-05,0,317470,0,34,0,0,0,10,0,21.2,0,-3,0,121,3,0,0,0,12,0,5,0,4,3.2,414237,0,0,0,1,2064,0,0,0,394,West Ham,,,,,2016,37,Y16W37
Michel,Vorm,GLK,TOT,4800000,0,17,0.153153153153153,3.19069069069069e-08,3.541666666666671e-06,0,22416,0,2,0,7,0,0,0,3.5,0,-2,0,17,2,0,0,0,0,0,2,0,0,0.3,18749,0,3,0,0,416,0,0,0,81,Hull City,,,,,2016,37,Y16W37
Matej,Vydra,FWD,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,26851,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3,4288,0,0,0,0,3,0,0,0,3,Man City,,,,,2016,37,Y16W37
Molla,Wague,DEF,LEI,4400000,0,0,0.0,0.0,0.0,0,170,0,0,0,0,0,0,0,0.0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.0,252,0,0,0,0,0,0,0,0,0,Bournemouth,,,,,2016,37,Y16W37
