FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
Kelechi,Iheanacho,FWD,LEI,7000000,1,1,0.33333333333333304,4.76190476190476e-08,1.42857142857143e-07,0,37834,0,2,0,0,0,0,0,0.1,37834,0,0,1,0,0.1,0,1,0,0,0,0,0,2.5,2963,0,0,0,0,8,2963,0,0,3,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,0.0,2017,1,Y17W1
Giannelli,Imbula,MID,STK,4500000,0,0,0.0,0.0,0.0,0,1171,0,0,0,0,0,0,0,0.0,1171,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,374,0,0,0,0,0,374,0,0,0,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.0,2017,1,Y17W1
Tom,Ince,MID,HUD,6000000,3,3,3.0,5e-07,5e-07,0,5237,0,0,0,0,0,0,0,0.5,5237,0,0,3,0,0.5,0,3,0,0,1,0,0,1.8,10270,0,0,0,0,90,10270,0,0,2,Newcastle,Southampton,West Ham,Leicester,Burnley,3.8,2017,1,Y17W1
Danny,Ings,FWD,LIV,5500000,0,0,0.0,0.0,0.0,0,705,0,0,0,0,0,0,0,0.0,705,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,251,0,0,0,0,0,251,0,0,0,Crystal Palace,Arsenal,Man City,Burnley,Leicester,0.0,2017,1,Y17W1
Alex,Iwobi,MID,ARS,5400000,0,0,0.0,0.0,0.0,0,47321,0,0,0,0,0,0,0,0.0,47321,-1,1,0,1,0.0,0,0,0,0,0,0,0,2.1,1332,0,0,0,0,0,1332,-1,0,0,Stoke,Liverpool,Bournemouth,Chelsea,West Brom,0.0,2017,1,Y17W1
Phil,Jagielka,DEF,EVE,5000000,7,7,7.0,1.4e-06,1.4e-06,0,17118,0,0,0,0,0,0,0,1.4,17118,0,0,7,0,1.4,0,7,1,0,1,0,0,8.1,35997,0,0,0,0,90,35997,0,0,26,Man City,Chelsea,Tottenham,Man Utd,Bournemouth,3.3,2017,1,Y17W1
Eldin,Jakupovic,GLK,LEI,4500000,0,0,0.0,0.0,0.0,0,1295,0,0,0,0,0,0,0,0.0,1295,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,97,0,0,0,0,0,97,0,0,0,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,0.0,2017,1,Y17W1
Matty,James,MID,LEI,4500000,2,2,2.0,4.44444444444444e-07,4.44444444444444e-07,0,1122,0,2,0,0,0,0,0,0.4,1122,0,0,2,0,0.4,0,2,0,0,0,0,0,0.3,2573,0,0,0,0,81,2573,0,0,5,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,1.0,2017,1,Y17W1
Daryl,Janmaat,DEF,WAT,5000000,1,1,0.33333333333333304,6.66666666666667e-08,2e-07,0,3561,0,0,0,0,0,0,0,0.2,3561,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,196,0,0,0,0,17,196,0,0,4,Bournemouth,Brighton,Southampton,Man City,Swansea,0.2,2017,1,Y17W1
Vincent,Janssen,FWD,TOT,7500000,0,0,0.0,0.0,0.0,0,2314,0,0,0,0,0,0,0,0.0,2314,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,218,0,0,0,0,0,218,0,0,0,Chelsea,Burnley,Everton,Swansea,West Ham,0.0,2017,1,Y17W1
Carl,Jenkinson,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,2218,0,0,0,0,0,0,0,0.0,2218,0,0,0,0,0.0,0,0,0,0,0,0,0,0.4,436,0,0,0,0,0,436,0,0,0,Stoke,Liverpool,Bournemouth,Chelsea,West Brom,0.0,2017,1,Y17W1
,Jese,MID,STK,6000000,0,0,0.0,0.0,0.0,0,238,0,0,0,0,0,0,0,0.0,238,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,3716,0,0,0,0,0,3716,0,0,0,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.0,2017,1,Y17W1
,Jesus,FWD,MCI,10500000,1,1,1.0,9.52380952380952e-08,9.52380952380952e-08,0,81522,1,0,0,0,0,0,0,0.1,81522,0,0,1,0,0.1,0,1,0,0,1,0,0,10.9,10847,0,0,0,0,77,10847,0,0,-4,Everton,Bournemouth,Liverpool,Watford,Crystal Palace,7.8,2017,1,Y17W1
,Joel Pereira,GLK,MUN,4000000,0,0,0.0,0.0,0.0,0,3112,0,0,0,0,0,0,0,0.0,3112,0,0,0,0,0.0,0,0,0,0,0,0,0,0.9,615,0,0,0,0,0,615,0,0,0,Swansea,Leicester,Stoke,Everton,Southampton,0.0,2017,1,Y17W1
