FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex
Aleksandar,Mitrovic,FWD,FUL,6500000,2,2,2,3.08E-07,3.08E-07,0,13448,0,2,0,0,0,0,0,0.3,13448,0,0,2,0,0.3,0,2,0,0,0,0,0,6.2,4655,0,0,0,0,90,4655,0,0,3,Tottenham,Burnley,Brighton,Man City,Watford,7.7
Henrikh,Mkhitaryan,MID,ARS,7000000,2,2,2,2.86E-07,2.86E-07,0,38080,0,2,0,0,0,0,0,0.3,38080,0,0,2,0,0.3,0,2,0,0,0,0,0,13.1,9235,0,0,0,0,90,9235,0,0,11,Chelsea,West Ham,Cardiff City,Newcastle,Everton,8.1
Nacho,Monreal,DEF,ARS,5500000,0,0,0,0,0,0,5663,0,0,0,0,0,0,0,0,5663,0,0,0,0,0,0,0,0,0,0,0,0,0.8,118,0,0,0,0,0,118,0,0,0,Chelsea,West Ham,Cardiff City,Newcastle,Everton,0
Martin,Montoya,DEF,BHA,4500000,0,0,0,0,0,0,733,0,0,0,0,0,0,0,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0.2,166,0,0,0,0,0,166,0,0,0,Man Utd,Liverpool,Fulham,Southampton,Tottenham,0
Aaron,Mooy,MID,HUD,5500000,2,2,2,3.64E-07,3.64E-07,0,11962,0,3,0,0,0,0,0,0.4,11962,0,0,2,0,0.4,0,2,0,0,0,0,0,3.8,728,0,0,0,0,90,728,0,0,24,Man City,Cardiff City,Everton,Crystal Palace,Leicester,3.8
Alvaro,Morata,FWD,CHE,9000000,2,2,2,2.22E-07,2.22E-07,0,12188,0,0,0,0,0,0,0,0.2,12188,0,0,2,0,0.2,0,2,0,0,1,0,0,3.1,3560,0,0,0,0,90,3560,0,0,1,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,4.9
Alberto,Moreno,DEF,LIV,4500000,0,0,0,0,0,0,2062,0,0,0,0,0,0,0,0,2062,0,0,0,0,0,0,0,0,0,0,0,0,0.5,752,0,0,0,0,0,752,0,0,0,Crystal Palace,Brighton,Leicester,Tottenham,Southampton,0
Wes,Morgan,DEF,LEI,4500000,1,1,1,2.22E-07,2.22E-07,0,2963,0,2,0,0,0,0,0,0.2,2963,0,0,1,0,0.2,0,1,0,0,0,0,0,1.6,5021,0,0,0,0,90,5021,0,0,16,Wolverhampton,Southampton,Liverpool,Bournemouth,Huddersfield,2
Sean,Morrison,DEF,CAR,5000000,1,1,1,2.00E-07,2.00E-07,0,1911,0,2,0,0,0,0,0,0.2,1911,0,0,1,0,0.2,0,1,0,0,0,0,0,0.6,234,0,0,0,0,90,234,0,0,14,Newcastle,Huddersfield,Arsenal,Chelsea,Man City,8
Victor,Moses,DEF,CHE,6000000,1,1,1,1.67E-07,1.67E-07,0,17069,0,0,0,0,0,0,0,0.2,17069,0,0,1,0,0.2,0,1,0,0,0,0,0,4.2,1000,0,0,0,0,9,1000,0,0,2,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,1.2
Steve,Mounie,FWD,HUD,6000000,2,2,2,3.33E-07,3.33E-07,0,676,0,3,0,0,0,0,0,0.3,676,0,0,2,0,0.3,0,2,0,0,0,0,0,0.3,324,0,0,0,0,90,324,0,0,2,Man City,Cardiff City,Everton,Crystal Palace,Leicester,1.5
Lys,Mousset,FWD,BOU,5000000,1,1,1,2.00E-07,2.00E-07,0,984,0,0,0,0,0,0,0,0.2,984,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,980,0,0,0,0,1,980,0,0,3,West Ham,Everton,Chelsea,Leicester,Burnley,0
,Moutinho,MID,WOL,5500000,2,2,2,3.64E-07,3.64E-07,0,7253,0,2,0,0,0,0,0,0.4,7253,0,0,2,0,0.4,0,2,0,0,0,0,0,1.8,1030,0,0,0,0,84,1030,0,0,15,Leicester,Man City,West Ham,Burnley,Man Utd,1.8
Jacob,Murphy,MID,NEW,5000000,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0.1,47,0,0,0,0,0,47,0,0,0,Cardiff City,Chelsea,Man City,Arsenal,Crystal Palace,0
Josh,Murphy,MID,CAR,5000000,1,1,1,2.00E-07,2.00E-07,0,1389,0,1,0,0,0,0,0,0.2,1389,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,113,0,0,0,0,27,113,0,0,4,Newcastle,Huddersfield,Arsenal,Chelsea,Man City,4.7
Glenn,Murray,FWD,BHA,6500000,2,2,2,3.08E-07,3.08E-07,0,1935,0,2,0,0,0,0,0,0.3,1935,0,0,2,0,0.3,0,2,0,0,0,0,0,0.8,514,0,0,0,0,90,514,0,0,1,Man Utd,Liverpool,Fulham,Southampton,Tottenham,1.1
Shkodran,Mustafi,DEF,ARS,5500000,1,1,1,1.82E-07,1.82E-07,0,3294,0,2,0,0,0,0,0,0.2,3294,0,0,1,0,0.2,0,1,0,0,0,0,0,1.5,1140,0,0,0,0,90,1140,0,0,16,Chelsea,West Ham,Cardiff City,Newcastle,Everton,4.7
Yoshinori,Muto,FWD,NEW,6000000,1,1,1,1.67E-07,1.67E-07,0,506,0,0,0,0,0,0,0,0.2,506,0,0,1,0,0.2,0,1,0,0,0,0,0,0.1,146,0,0,0,0,9,146,0,0,5,Cardiff City,Chelsea,Man City,Arsenal,Crystal Palace,4
Marc,Navarro,DEF,WAT,4500000,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0.1,19,0,0,0,0,0,19,0,0,0,Burnley,Crystal Palace,Tottenham,Man Utd,Fulham,0
Wilfred,Ndidi,MID,LEI,5000000,2,2,2,4.00E-07,4.00E-07,0,2273,0,2,0,0,0,0,0,0.4,2273,0,0,2,0,0.4,0,2,0,0,0,0,0,0.8,1430,0,0,0,0,90,1430,0,0,13,Wolverhampton,Southampton,Liverpool,Bournemouth,Huddersfield,5
Reiss,Nelson,MID,ARS,4500000,0,0,0,0,0,0,2550,0,0,0,0,0,0,0,0,2550,0,0,0,0,0,0,0,0,0,0,0,0,0.8,517,0,0,0,0,0,517,0,0,0,Chelsea,West Ham,Cardiff City,Newcastle,Everton,0
,Neves,MID,WOL,5000000,12,12,12,2.40E-06,2.40E-06,0,8177,0,2,0,0,0,1,0,2.4,8177,0,0,12,0,2.4,0,12,2,0,0,0,1,18.4,193507,0,0,0,1,90,193507,0,0,44,Leicester,Man City,West Ham,Burnley,Man Utd,10.4
Oumar,Niasse,FWD,EVE,5500000,1,1,1,1.82E-07,1.82E-07,0,3416,0,0,0,0,0,0,0,0.2,3416,0,0,1,0,0.2,0,1,0,0,0,0,0,0.9,823,0,0,0,0,9,823,0,0,1,Southampton,Bournemouth,Huddersfield,West Ham,Arsenal,0.3
Georges-Kevin,Nkoudou,MID,TOT,5000000,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,53,0,0,0,Fulham,Man Utd,Watford,Liverpool,Brighton,0
Mark,Noble,MID,WHU,5000000,2,2,2,4.00E-07,4.00E-07,0,1071,0,4,0,0,0,0,0,0.4,1071,0,0,2,0,0.4,0,2,0,0,0,0,0,0.5,332,0,0,0,0,90,332,0,0,12,Bournemouth,Arsenal,Wolverhampton,Everton,Chelsea,0.9
Will,Norris,GLK,WOL,4000000,0,0,0,0,0,0,2011,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,2.5,938,0,0,0,0,0,938,0,0,0,Leicester,Man City,West Ham,Burnley,Man Utd,0
Pedro,Obiang,MID,WHU,4500000,0,0,0,0,0,0,3156,0,0,0,0,0,0,0,0,3156,0,0,0,0,0,0,0,0,0,0,0,0,1.3,422,0,0,0,0,0,422,0,0,0,Bournemouth,Arsenal,Wolverhampton,Everton,Chelsea,0
Denis,Odoi,DEF,FUL,4500000,0,0,0,0,0,0,1863,0,0,0,0,0,0,0,0,1863,0,0,0,0,0,0,0,0,0,0,0,0,0.2,21,0,0,0,0,0,21,0,0,0,Tottenham,Burnley,Brighton,Man City,Watford,0
Angelo,Ogbonna,DEF,WHU,4500000,0,0,0,0,0,0,2031,0,4,0,0,0,0,0,0,2031,0,0,0,0,0,0,0,0,0,0,0,0,1,1159,0,0,0,0,90,1159,0,0,16,Bournemouth,Arsenal,Wolverhampton,Everton,Chelsea,3.5
Stefano,Okaka,FWD,WAT,5000000,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,85,0,0,0,Burnley,Crystal Palace,Tottenham,Man Utd,Fulham,0
Shinji,Okazaki,FWD,LEI,5500000,0,0,0,0,0,0,7966,0,0,0,0,0,0,0,0,7966,0,0,0,0,0,0,0,0,0,0,0,0,1.5,915,0,0,0,0,0,915,0,0,0,Wolverhampton,Southampton,Liverpool,Bournemouth,Huddersfield,0
,Oriol Romeu,MID,SOU,4500000,3,3,3,6.67E-07,6.67E-07,0,5348,0,0,0,0,0,0,0,0.7,5348,0,0,3,0,0.7,0,3,0,0,1,0,0,3,5178,0,0,0,0,90,5178,0,0,12,Everton,Leicester,Crystal Palace,Brighton,Liverpool,3.2
Nicolas,Otamendi,DEF,MCI,6500000,0,0,0,0,0,0,34210,0,0,0,0,0,0,0,0,34210,0,0,0,0,0,0,0,0,0,0,0,0,8.2,2293,0,0,0,0,0,2293,0,0,0,Huddersfield,Wolverhampton,Newcastle,Fulham,Cardiff City,0
Reece,Oxford,DEF,WHU,4500000,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0.2,87,0,0,0,0,0,87,0,0,0,Bournemouth,Arsenal,Wolverhampton,Everton,Chelsea,0
Mesut,Ozil,MID,ARS,8500000,2,2,2,2.35E-07,2.35E-07,0,15469,0,2,0,0,0,0,0,0.2,15469,0,0,2,0,0.2,0,2,0,0,0,0,0,5.1,4731,0,0,0,0,90,4731,0,0,10,Chelsea,West Ham,Cardiff City,Newcastle,Everton,4
Callum,Paterson,MID,CAR,5500000,2,2,2,3.64E-07,3.64E-07,0,530,0,1,0,0,0,0,0,0.4,530,0,0,2,0,0.4,0,2,0,0,0,0,0,0.2,52,0,0,0,0,62,52,0,0,10,Newcastle,Huddersfield,Arsenal,Chelsea,Man City,3.7
,Patricio,GLK,WOL,4500000,2,2,2,4.44E-07,4.44E-07,0,4932,0,2,0,3,0,0,0,0.4,4932,0,0,2,0,0.4,0,2,0,0,0,0,0,6.4,2390,0,0,0,0,90,2390,0,0,14,Leicester,Man City,West Ham,Burnley,Man Utd,2.2
,Pedro,MID,CHE,6500000,9,9,9,1.38E-06,1.38E-06,0,5099,0,0,0,0,0,1,0,1.4,5099,0,0,9,0,1.4,0,9,1,0,1,0,0,2.7,21106,0,0,0,0,80,21106,0,0,31,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,8.3
Lee,Peltier,DEF,CAR,4000000,0,0,0,0,0,0,6211,1,2,0,0,0,0,0,0,6211,0,0,0,0,0,0,0,0,0,0,0,0,4.1,3193,0,0,0,0,90,3193,0,0,6,Newcastle,Huddersfield,Arsenal,Chelsea,Man City,1.2
,Pereira,DEF,LEI,5000000,4,4,4,8.00E-07,8.00E-07,0,1832,0,2,0,0,0,0,0,0.8,1832,0,0,4,0,0.8,0,4,0,0,0,0,1,1.6,6767,0,0,0,0,90,6767,0,0,23,Wolverhampton,Southampton,Liverpool,Bournemouth,Huddersfield,5.8
Andreas,Pereira,MID,MUN,5000000,1,1,1,2.00E-07,2.00E-07,0,3392,1,1,0,0,0,0,0,0.2,3392,0,0,1,0,0.2,0,1,0,0,0,0,0,0.6,1617,0,0,0,0,90,1617,0,0,13,Brighton,Tottenham,Burnley,Watford,Wolverhampton,2.8
Roberto,Pereyra,MID,WAT,6000000,16,16,16,2.67E-06,2.67E-06,0,5868,0,0,0,0,0,2,0,2.7,5868,0,0,16,0,2.7,0,16,3,0,1,0,0,3.1,91773,0,0,0,1,86,91773,0,0,56,Burnley,Crystal Palace,Tottenham,Man Utd,Fulham,15.4
Ayoze,Perez,FWD,NEW,6500000,2,2,2,3.08E-07,3.08E-07,0,6480,0,2,0,0,0,0,0,0.3,6480,0,0,2,0,0.3,0,2,0,0,0,0,0,3,2362,0,0,0,0,80,2362,0,0,9,Cardiff City,Chelsea,Man City,Arsenal,Crystal Palace,4.6
Jordan,Pickford,GLK,EVE,5000000,1,1,1,2.00E-07,2.00E-07,0,22206,0,2,0,2,0,0,0,0.2,22206,0,0,1,0,0.2,0,1,0,0,0,0,0,20.9,7730,0,0,0,0,90,7730,0,0,13,Southampton,Bournemouth,Huddersfield,West Ham,Arsenal,1.5
Anthony,Pilkington,MID,CAR,4500000,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0.2,94,0,0,0,0,0,94,0,0,0,Newcastle,Huddersfield,Arsenal,Chelsea,Man City,0
Paul,Pogba,MID,MUN,8000000,10,10,10,1.25E-06,1.25E-06,0,9438,0,0,0,0,0,1,0,1.3,9438,0,0,10,0,1.3,0,10,2,0,1,0,0,12.1,122146,0,0,0,0,83,122146,0,0,29,Brighton,Tottenham,Burnley,Watford,Wolverhampton,9.1
